time,x_original,x_drift,x_amplitude_scaled,x_lowfreq,v_original,v_drift,v_amplitude_scaled,v_lowfreq,a_original,a_drift,a_amplitude_scaled,a_lowfreq
1.01,-0.009986461381669367,-0.008976461381669366,-0.01497969207250405,-0.00338517892572944,0.0016449591862451674,0.0026549591862451674,0.002467438779367751,-0.029751734342607146,0.09986461381676229,0.10087461381676228,0.14979692072514345,0.033851789257288496
1.02,-0.009965023918481876,-0.008945023918481875,-0.014947535877722812,-0.003563189966559772,0.0026425334512530296,0.0036625334512530297,0.003963800176879544,-0.02954448870114653,0.09965023918481017,0.10067023918481016,0.14947535877721524,0.035631899665585616
1.03,-0.009933623922009222,-0.008903623922009222,-0.014900435883013832,-0.003739799629702988,0.0036374658432777817,0.004667465843277782,0.005456198764916672,-0.02932539901325869,0.09933623922014026,0.10036623922014026,0.1490043588302104,0.03739799629702694
1.04,-0.009892292784399839,-0.008852292784399838,-0.014838439176599758,-0.003914890204811245,0.004628761678598733,0.005668761678598733,0.0069431425178981,-0.02909461130222971,0.09892292784404996,0.09996292784404996,0.14838439176607493,0.039148902048108475
1.05,-0.009841071826461135,-0.008791071826461135,-0.014761607739691703,-0.004089221235902024,0.005615429909141957,0.006665429909141957,0.008423144863712935,-0.028857974579630158,0.09841071826459483,0.09946071826459482,0.14761607739689225,0.04089221235901011
1.06,-0.009780012256349014,-0.008720012256349014,-0.01467001838452352,-0.004261099347481139,0.006596484113282276,0.007656484113282276,0.009894726169923413,-0.028604027399897074,0.09780012256346901,0.09886012256346902,0.1467001838452035,0.042610993474814715
1.07,-0.009709175118372514,-0.008639175118372514,-0.01456376267755877,-0.004432102540838771,0.007570943482017863,0.008640943482017863,0.011356415223026795,-0.028344394695689085,0.09709175118364846,0.09816175118364846,0.1456376267754727,0.044321025408397066
1.08,-0.009628631231964753,-0.008548631231964754,-0.01444294684794713,-0.004601355897753431,0.008537833799534201,0.0096178337995342,0.012806750699301301,-0.02807339094253129,0.09628631231961912,0.09736631231961912,0.14442946847942867,0.04601355897753494
1.09,-0.009538461120881202,-0.008448461120881202,-0.014307691681321804,-0.004768746610855689,0.009496188417175973,0.010586188417175974,0.01424428262576396,-0.027791196764436466,0.09538461120873534,0.09647461120873534,0.14307691681310303,0.04768746610856103
1.1,-0.00943875493269605,-0.00833875493269605,-0.014158132399044074,-0.004935206002051744,0.010445049219854622,0.011545049219854622,0.015667573829781935,-0.027503407373873127,0.09438754932699431,0.09548754932699431,0.14158132399049145,0.049352060020531247
1.11,-0.009329612348677158,-0.008219612348677158,-0.013994418523015736,-0.005098705009742445,0.011383467583923747,0.012493467583923747,0.01707520137588562,-0.027199120063365428,0.09329612348683061,0.09440612348683061,0.13994418523024593,0.05098705009743339
